,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,playlist name
3309,6t2ubAB4iSYOuIpRAOGd4t,Cake - Challenge Version,60,Flo Rida,False,2016-12-16,0.786,0.854,-4.247,1,0.0523,0.0729,1.63e-06,0.179,0.687,105.078,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",Sing-Along Current
3310,1LmN9SSHISbtp9LoaR5ZVJ,Payphone,73,Maroon 5,True,2012-01-01,0.739,0.756,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,"['pop', 'pop rock']",Sing-Along Current
3311,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,81,Bruno Mars,False,2016-11-17,0.853,0.56,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,"['dance pop', 'pop']",Sing-Along Current
3312,0NWQTyapmz4GuDTSN9xTB7,Candyman,57,Zedd,False,2016-02-26,0.572,0.864,-4.098,0,0.0477,0.0215,0.0,0.375,0.26,149.945,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'post-teen pop', 'tropical house']",Sing-Along Current
3313,5OA2EQqiP7r7Zcl6nw8ICW,I Need A Dollar,0,Aloe Blacc,False,2010-09-28,0.84,0.481,-7.152,0,0.033,0.199,0.0,0.0857,0.96,95.513,['r&b'],Sing-Along Current
3314,65DaM9LL4Zmoj04wcwbzzR,Can You Do This,45,Aloe Blacc,False,2014-01-01,0.579,0.787,-6.536,0,0.0767,0.0102,1.43e-05,0.0507,0.363,155.047,['r&b'],Sing-Along Current
3315,5axBwqXk8lLdtdc1tLCNPn,Wake Me Up - Acoustic,48,Aloe Blacc,False,2014-01-01,0.544,0.608,-7.151,1,0.0345,0.397,0.0,0.14,0.396,114.882,['r&b'],Sing-Along Current
3316,2T43UrvAg60ubJVo5KQ3t7,Come And Get Your Love,66,Redbone,False,2010-03-05,0.793,0.481,-14.246,1,0.0278,0.231,0.00122,0.06,0.97,107.744,['native american'],Sing-Along Current
3317,2vDT1uU6hZgdp3PbWGr0Xy,7 Years,1,Lukas Graham,False,2015-10-22,0.765,0.473,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,"['danish pop', 'pop', 'scandipop']",Sing-Along Current
3318,4YMqbFcDIFiCBd02PzUBcM,Thrift Shop (feat. Wanz),71,Macklemore & Ryan Lewis,True,2012-10-10,0.781,0.526,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,"['dance pop', 'pop', 'pop rap']",Sing-Along Current
3319,5n5uyFpfopa4mNdSN0gTaH,Wing$,65,Macklemore & Ryan Lewis,False,2012-10-09,0.4,0.602,-6.988,0,0.197,0.353,0.0,0.191,0.0964,74.142,"['dance pop', 'pop', 'pop rap']",Sing-Along Current
3320,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",78,Snoop Dogg,True,2011-10-11,0.715,0.655,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Sing-Along Current
3321,7hZW3cbGT0q0xTFqvemfLl,American Dream,35,MKTO,False,2014,0.554,0.767,-5.043,1,0.0497,0.114,0.0,0.231,0.497,122.846,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",Sing-Along Current
3322,07ibEk4DOJuopGi3I36B4I,Thank You,44,MKTO,False,2013-01-11,0.65,0.957,-3.586,1,0.0663,0.0136,0.0,0.233,0.776,126.005,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",Sing-Along Current
3323,2VnMIUBC3Bj7SIcjCqfPx0,It's The Hard-Knock Life,56,Quvenzhané Wallis,False,2014-11-17,0.736,0.841,-5.352,1,0.0928,0.0452,0.0105,0.03,0.836,163.912,[],Sing-Along Current
3324,1lzRxwbdl86iJlYMz48KoD,J'ai cherché,55,Amir,False,2016-04-29,0.566,0.875,-4.818,1,0.0444,0.0263,0.0,0.17,0.489,120.061,"['eurovision', 'francoton']",Sing-Along Current
3325,3jyQ5s7TlKm5tqmpICahUY,Je suis chez moi,49,Black M,False,2016-10-28,0.695,0.665,-6.03,0,0.0594,0.0924,0.0,0.173,0.246,123.963,"['francoton', 'french pop', 'rap conscient']",Sing-Along Current
3326,4Sj8JZ9zZfl8HaOav5yTVq,1-800-273-8255,0,Logic,True,2017-04-28,0.622,0.593,-7.755,0,0.0414,0.56,0.0,0.175,0.369,100.048,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Sing-Along Current
3327,4YZbVct8l9MnAVIROnLQdx,Forrest Gump,64,Frank Ocean,False,2012-07-10,0.701,0.417,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Sing-Along Current
3328,15iEXnizukvzpAFbLIRGKs,Hey There Delilah,1,Plain White T's,False,2006,0.527,0.452,-7.844,1,0.0293,0.819,0.0,0.102,0.311,103.851,"['neo mellow', 'pop', 'pop punk', 'pop rock']",Sing-Along Current
3329,3DJzbnITxJVoLjtYGu4NeV,Cheerleader,56,Pentatonix,False,2015-10-16,0.799,0.59,-6.361,1,0.0361,0.0545,0.0,0.164,0.579,117.999,['a cappella'],Sing-Along Current
3330,6vGVf8K3ri7VfkCj6PtZRy,Radioactive,0,Pentatonix,False,2014-05-05,0.497,0.6,-7.677,1,0.0721,0.504,0.0,0.265,0.426,134.993,['a cappella'],Sing-Along Current
3331,6v08G3CGcoyiODIWZoOxR4,Na Na Na,51,Pentatonix,False,2015-10-16,0.708,0.637,-5.795,1,0.0833,0.125,0.0,0.129,0.862,104.118,['a cappella'],Sing-Along Current
3332,5KONnBIQ9LqCxyeSPin26k,Trumpets,68,Jason Derulo,False,2013-09-10,0.635,0.691,-4.862,1,0.258,0.555,0.0,0.097,0.638,82.142,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Sing-Along Current
3333,2sLwPnIP3CUVmIuHranJZU,Wiggle (feat. Snoop Dogg),61,Jason Derulo,False,2013-09-10,0.697,0.621,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Sing-Along Current
3334,3U1TuSqHIubBA10cVP7Sk6,I Think I'm In Love,67,Kat Dahlia,True,2015-01-09,0.632,0.638,-6.731,1,0.0505,0.137,0.0,0.125,0.574,121.868,"['hip pop', 'miami hip hop']",Sing-Along Current
3335,5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",17,Pharrell Williams,False,2014-03-03,0.647,0.822,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,"['pop', 'pop rap']",Sing-Along Current
3336,53c9tTEHXWL5GkYNalbXZ3,C'mon - Single Version,59,Panic! At The Disco,False,2011-05-17,0.38,0.489,-7.027,1,0.0362,0.0351,0.00243,0.081,0.337,127.097,"['baroque pop', 'emo', 'modern rock']",Sing-Along Current
3337,6t6oULCRS6hnI7rm0h5gwl,Some Nights,71,fun.,True,2012-02-21,0.672,0.738,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rock']",Sing-Along Current
3338,4orHVYvdG5v4G4bmp2Lwdg,Sight of the Sun - Single Version,53,fun.,False,2014-03-11,0.626,0.703,-5.247,1,0.0306,0.0275,1.66e-06,0.0903,0.522,92.054,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rock']",Sing-Along Current
3339,4YS0JF9kSLe15ggwOQqQit,That's What I Like - BLVK JVCK Remix,54,Bruno Mars,False,2017-04-18,0.755,0.736,-5.386,1,0.08,0.018,1.55e-06,0.2,0.875,134.044,"['dance pop', 'pop']",Sing-Along Current
